node,datetime,generator,Generation,Capacity Curtailed
Alfalfal220,2024-01-28T08:00:00.000000,ALFALFAL,140.06,0.0
Alfalfal220,2024-01-28T09:00:00.000000,ALFALFAL,87.6875,0.0
Alfalfal220,2024-01-28T10:00:00.000000,ALFALFAL,88.5175,0.0
Alfalfal220,2024-01-28T11:00:00.000000,ALFALFAL,87.4275,0.0
Alfalfal220,2024-01-28T12:00:00.000000,ALFALFAL,136.8,0.0
Alfalfal220,2024-01-28T13:00:00.000000,ALFALFAL,139.29,0.0
Alfalfal220,2024-01-28T14:00:00.000000,ALFALFAL,140.79,0.0
Alfalfal220,2024-01-28T15:00:00.000000,ALFALFAL,87.4275,0.0
Alfalfal220,2024-01-28T16:00:00.000000,ALFALFAL,138.21,0.0
Alfalfal220,2024-01-28T17:00:00.000000,ALFALFAL,137.06,0.0
Alfalfal220,2024-01-28T18:00:00.000000,ALFALFAL,136.65,0.0
Alfalfal220,2024-01-29T09:00:00.000000,ALFALFAL,87.2775,0.0
Alfalfal220,2024-01-30T09:00:00.000000,ALFALFAL,86.282115611802,0.0
Almendros220,2024-01-28T08:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T09:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T10:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T11:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T12:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T13:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T14:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T15:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T16:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T17:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-28T18:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-29T09:00:00.000000,ALFALFAL_2,0.0,0.0
Almendros220,2024-01-30T09:00:00.000000,ALFALFAL_2,0.0,0.0
Linares154,2024-01-28T08:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T09:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T10:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T11:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T12:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T13:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T14:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T15:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T16:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T17:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-28T18:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-29T09:00:00.000000,ANCOA,22.9,0.0
Linares154,2024-01-30T09:00:00.000000,ANCOA,22.9,0.0
Polpaico220,2024-01-28T08:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T09:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T10:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T11:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T12:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T13:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T14:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T15:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T16:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-28T17:00:00.000000,BLANCO,53.0,0.0
Polpaico220,2024-01-28T18:00:00.000000,BLANCO,53.0,0.0
Polpaico220,2024-01-29T09:00:00.000000,BLANCO,50.0,0.0
Polpaico220,2024-01-30T09:00:00.000000,BLANCO,50.0,0.0
Rahue220,2024-01-28T08:00:00.000000,CAPULLO,3.5,0.0
Rahue220,2024-01-28T09:00:00.000000,CAPULLO,3.5,0.0
AJahuel220,2024-01-28T08:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T09:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T10:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T11:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T12:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T13:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T14:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T15:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T16:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T17:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-28T18:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-29T09:00:00.000000,CARENA,2.75,0.0
AJahuel220,2024-01-30T09:00:00.000000,CARENA,2.75,0.0
RioTolten220,2024-01-28T08:00:00.000000,CARILAFQUEN,14.0,0.0
RioTolten220,2024-01-28T09:00:00.000000,CARILAFQUEN,14.0,0.0
Polpaico220,2024-01-28T08:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T09:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T10:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T11:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T12:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T13:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T14:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T15:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T16:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T17:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-28T18:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-29T09:00:00.000000,CHACABUQUITO,17.4,0.0
Polpaico220,2024-01-30T09:00:00.000000,CHACABUQUITO,17.4,0.0
Sauzal110_BP1,2024-01-28T08:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T09:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T10:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T11:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T12:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T13:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T14:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T15:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T16:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T17:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-28T18:00:00.000000,CHACAYES,101.377379860491,0.0
Sauzal110_BP1,2024-01-29T09:00:00.000000,CHACAYES,98.6584221525456,0.0
Sauzal110_BP1,2024-01-30T09:00:00.000000,CHACAYES,96.2208568321825,0.0
Arica066,2024-01-28T08:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-28T09:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-28T10:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-28T11:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T12:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T13:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T14:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T16:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T17:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-28T18:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T09:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-29T10:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-29T11:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T12:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T13:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T14:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T16:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T17:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-29T18:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-30T09:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-30T10:00:00.000000,CHAPIQUINA,7.0,0.0
